Campaign_ID,Clicks,Conversions,Platform,Content_Type,Target_Age,Target_Gender,Region,Revenue,Spend,Date,Impressions,CTR,CPC,CPA,ROAS
C3578,401,174,Instagram,Carousel,35-44,Male,Europe,27840,6453.9,2025-01-19,8698,0.046102552310876066,16.094513715710722,37.09137931034483,4.313670803700089
C6702,1286,821,LinkedIn,Text,55+,Male,Africa,128076,10067.4,2025-01-22,4496,0.2860320284697509,7.828460342146189,12.262362971985382,12.72185469932654
C9725,1684,1060,Instagram,Video,35-44,Other,North America,193980,7623.0,2024-07-23,7935,0.21222432262129803,4.526722090261282,7.191509433962264,25.44667453758363
C9472,444,308,Google,Text,25-34,Male,North America,24024,8504.2,2024-04-20,4620,0.09610389610389611,19.153603603603607,27.611038961038965,2.824957080031043
C7601,1912,1428,Google,Text,25-34,Other,Europe,277032,8046.5,2024-08-07,5235,0.36523400191021965,4.20842050209205,5.634803921568627,34.428882122662024
C2793,663,605,YouTube,Text,45-54,Other,South America,21780,5177.5,2024-05-04,7113,0.09320961619569802,7.80920060331825,8.557851239669422,4.20666344760985
C8817,1044,452,Instagram,Text,25-34,Male,Europe,51528,4508.4,2024-08-09,3597,0.2902418682235196,4.3183908045977,9.97433628318584,11.429331913760981
C1097,1001,916,YouTube,Video,18-24,Other,North America,71448,7334.0,2024-05-19,9662,0.1036017387704409,7.326673326673327,8.006550218340612,9.742023452413417
C9333,379,192,LinkedIn,Video,25-34,Male,Africa,15744,2111.4,2024-06-16,7070,0.05360678925035361,5.570976253298153,10.996875000000001,7.45666382495027
C1232,83,54,YouTube,Image,35-44,Other,Africa,7236,2628.7,2024-11-04,8645,0.009600925390399074,31.671084337349395,48.67962962962962,2.752691444440218
C2507,1248,556,Facebook,Carousel,55+,Male,South America,97856,3500.0,2024-09-16,5374,0.23222925195385188,2.8044871794871793,6.294964028776978,27.95885714285714
C7297,208,13,Google,Carousel,25-34,Female,South America,598,2137.5,2024-03-10,8188,0.025403028822667317,10.276442307692308,164.42307692307693,0.27976608187134505
C4133,1326,154,YouTube,Carousel,55+,Female,Europe,22792,7609.2,2024-07-06,8672,0.1529059040590406,5.7384615384615385,49.41038961038961,2.995321452977974
C5129,1391,1288,Facebook,Text,55+,Male,South America,136528,9774.7,2024-11-16,8549,0.16270908878231372,7.027102803738318,7.589052795031057,13.967487493222297
C2514,1491,1068,Facebook,Video,55+,Male,North America,206124,2950.5,2024-06-10,9119,0.16350477025989693,1.9788732394366197,2.7626404494382024,69.86070157600406
C8001,1765,454,YouTube,Video,18-24,Other,Asia,86260,3168.0,2024-07-19,5966,0.2958431109621187,1.794900849858357,6.977973568281938,27.228535353535353
C1589,1696,790,Facebook,Text,55+,Male,Asia,120080,9088.9,2024-07-25,5942,0.285425782564793,5.359021226415094,11.50493670886076,13.211719790073607
C6840,376,115,Google,Video,55+,Male,South America,17020,3388.7,2024-09-16,2189,0.1717679305619004,9.0125,29.466956521739128,5.022575028772096
C9831,544,62,Instagram,Carousel,45-54,Female,North America,8618,9800.0,2024-03-22,6965,0.07810480976310122,18.014705882352942,158.06451612903226,0.8793877551020408
C2679,419,251,Instagram,Video,18-24,Other,Asia,42419,8409.6,2024-04-19,4697,0.08920587609112199,20.070644391408116,33.50438247011952,5.044116248097413
C9010,1076,1027,Instagram,Video,45-54,Male,South America,186914,3914.0,2024-06-04,5529,0.19461023693253754,3.637546468401487,3.8111002921129504,47.755237608584565
C5916,1862,1460,Google,Image,35-44,Female,Africa,58400,6880.5,2024-02-26,8833,0.21080040756254953,3.6952201933404942,4.712671232876712,8.48775525034518
C8963,345,139,YouTube,Text,45-54,Other,Africa,19460,4641.0,2024-03-07,4739,0.07280016881198566,13.452173913043477,33.388489208633096,4.193061840120664
C3000,1941,832,Facebook,Carousel,25-34,Other,North America,134784,10039.4,2024-09-29,3299,0.588360109123977,5.172282328696548,12.066586538461538,13.425503516146383
C5698,438,49,Google,Text,18-24,Male,North America,4851,7643.6,2024-09-16,7500,0.0584,17.451141552511416,155.9918367346939,0.6346485949029252
C6694,502,453,Instagram,Image,25-34,Female,South America,26274,4447.2,2025-02-06,6829,0.07351003075120809,8.858964143426295,9.817218543046357,5.907987048030222
C3220,1037,21,Facebook,Image,45-54,Female,South America,777,8908.2,2024-10-26,7636,0.1358040859088528,8.590356798457089,424.20000000000005,0.08722300801508721
